pipeline_id,filename,has_leakage,leakage_type,line_start,line_end,notes
nb_205857,nb_205857.py,True,preprocessing,23,23,"PCA fitted on full dataset before split then preprocessing.scale applied to full transformed data; double preprocessing leakage before train_test_split"
nb_205857,nb_205857.py,True,multi-test,14,14,"Three RandomForest configurations each evaluated on same testX across 200 n_estimators iterations inside loop; test set used repeatedly for model selection"
nb_248151,nb_248151.py,True,multi-test,8,12,"LinearSVC and RandomForestClassifier both evaluated on same X_test without independent holdout; test set used for model comparison"
nb_248151,nb_248151.py,True,preprocessing,,,StandardScaler fit_transform applied to full X before train_test_split inside dataset loop; test data statistics influence scaling parameters
nb_248151,nb_248151.py,True,multi-test,,,Nine classifiers all evaluated on same X_test inside loop; test set used repeatedly for model comparison across all three datasets
nb_273933,nb_273933.py,True,preprocessing,186,186,"preprocessing.scale applied to full X_all before train_test_split on line 215; test data statistics influence mean and std used for scaling"
nb_273933,nb_273933.py,True,multi-test,369,378,"Three classifiers each evaluated on same X_test across three training sizes (9 total evaluations); same test set reused for model comparison and selection"
nb_273933,nb_273933.py,True,multi-test,527,528,"Tuned KNN model and default KNN model both evaluated on same X_test after model selection via GridSearchCV; test set used for final comparison of two model variants"
nb_276778,nb_276778.py,True,preprocessing,25,25,"LabelEncoder fitted on full nominal_string_data before train_test_split; test data label distribution influences encoding"
nb_276778,nb_276778.py,True,preprocessing,25,25,"Pipeline with Imputer fitted on full data using fit_transform before train_test_split; mean and most_frequent values computed from entire dataset including test samples"
nb_277256,nb_277256.py,True,preprocessing,3,3,"LabelEncoder fitted on full nominal_string_data before any train_test_split; test data label distribution influences encoding before split in later cells"
nb_282393,nb_282393.py,True,preprocessing,1135,1442,"train_X and test_X concatenated into full_data before StandardScaler fit_transform applied column by column; test data statistics influence scaling parameters before train and test are separated again"
nb_292583,nb_292583.py,TRUE,preprocessing,120,151,"MinMaxScaler.fit_transform(data[numerical]) at line 126 is fit on the full dataset, and pd.get_dummies(features_raw) at line 151 is applied to the full dataset — both occur before train_test_split (line 176), so test distribution leaks into scaling parameters and encoding columns"
nb_292583,nb_292583.py,TRUE,multi_test,280,528,"X_test reused repeatedly with no independent holdout: lines 307/367 (3 classifiers x 3 sample sizes = 9 evaluations for model selection), lines 425-440 (GridSearchCV best_clf vs unoptimized clf comparison), lines 513-528 (reduced-feature model comparison) — same test set drives multiple modeling decisions"
nb_303674,nb_303674.py,TRUE,preprocessing,85,86,"CountVectorizer fit/fit_transform on the entire critics.quote corpus before any train/test split (split happens inside train_and_measure at line 107) — vocabulary and term counts from future test rows leak into the feature matrix"
nb_303674,nb_303674.py,TRUE,multi_test,104,386,"train_and_measure() called repeatedly (>=50 times: 3 classifiers at lines 117/120/123, F-selected features at 277, a 50-iteration percentile loop at 307-318, POS-tag features at 386), each time re-splitting with the same random_state=1234 and comparing test accuracy to pick the best classifier/feature subset — no independent final test set is held out"
nb_303674,nb_303674.py,TRUE,preprocessing,230,318,"f_classif(x,y) ANOVA F-test computed on the full feature matrix x and full label vector y (not train-only) to build a feature-selection mask (line 269, repeated each loop iteration at 308); selected features are then used for both training and testing, so test-set distribution informs which features are kept"
nb_303674,nb_303674.py,TRUE,overlap,175,217,"find_k() returns a classifier fit on the last KFold training fold (line 175); this clf is then evaluated via predict/confusion_matrix/predict_proba on the FULL x (lines 185, 195, 203) which includes rows the model was trained on — accuracy and confusion matrix are partly computed on training data"
nb_303674,nb_303674.py,TRUE,preprocessing,376,378,"Second CountVectorizer fit_transform on critics.pos applied to the full corpus before the line 386 split inside train_and_measure — same vocabulary-leakage pattern as lines 85-86, repeated for POS-tag features"
nb_334422,nb_334422.py,TRUE,preprocessing,60,61,"TfidfVectorizer.fit_transform() called on the full X_train_pos[""text""] column before train_test_split (line 104) — IDF weights are computed using documents that later end up in the test split (same pattern also present but unused for the X_train_norm/X_train_sw branches at lines 47 and 54)"
nb_334422,nb_334422.py,TRUE,multi_test,132,353,"Nine different regression models (Linear, Ridge, Lasso, 3x KNN, DecisionTree, RandomForest, AdaBoost, GradientBoosting) are all fit on the same X_train/y_train and evaluated on the same X_test/y_test to compare RMSE — no independent held-out test set is reserved, so the single split functions as a validation set across repeated model-selection comparisons"
nb_344814,nb_344814.py,TRUE,preprocessing,342,342,"patsy.dmatrix() builds the categorical design matrix (C(city)+C(state)+C(company)+C(Title_New)) from the full wdf dataframe before the line 354 train_test_split — dummy/category columns are determined using categories present in rows that later become the test set"
nb_344814,nb_344814.py,TRUE,overlap,419,420,"GridSearchCV.fit(X, y) is called on the FULL feature matrix and label vector (X, y from lines 342-343), not on X_train/Y_train (created at line 354) — test rows are included in the cross-validation folds used to select the best hyperparameters (C, penalty)"
nb_344814,nb_344814.py,TRUE,multi_test,367,453,"X_test/Y_test reused for two separate evaluation rounds: the unoptimized LogisticRegression (lines 367-409: predictions, confusion matrix, classification report, ROC curve) and again for the GridSearchCV-tuned model (lines 439-453: predictions, confusion matrix, classification report) — same test set drives the optimized-vs-unoptimized comparison with no independent final test set"
nb_344873,nb_344873.py,TRUE,preprocessing,32,75,"Kaggle train+test concatenated into all_data (line 32-33) before all preprocessing; pd.get_dummies(all_data) (line 68) and all_data.fillna(all_data.mean()) (line 75) are both fit on the combined train+test frame, then split back via slicing (lines 82-84) — competition test distribution leaks into one-hot columns and imputed means, the canonical Kaggle concat-before-preprocess pattern"
nb_344873,nb_344873.py,TRUE,preprocessing,240,246,"StandardScaler().fit_transform(X_train) (line 240) is fit on the full X_train before it is split into X_tr/X_val at line 246 for the Keras model — scaling statistics leak from the validation rows into the scaler used for training"
nb_362989,nb_362989.py,TRUE,preprocessing,44,49,"A per-column MinMaxScaler((-1,1)) applied via r.apply(f, axis=0) (lines 44-49) is fit on the full final dataframe r (reassigned at line 42, after dropna at line 43) before train_test_split at line 57 — scaling min/max are computed using rows that later become the test set"
nb_362989,nb_362989.py,TRUE,multi_test,57,81,"X_test reused to evaluate 7 different classifiers in sequence (6 SGDClassifier loss variants in the loop at lines 64-72, plus GaussianNB at lines 73-81) — same test set drives model comparison/selection with no independent final test set"
nb_387986,nb_387986.py,TRUE,preprocessing,78,314,"Imputer(strategy=""median"").fit_transform(data_.values) (line 78), f_regression/mutual_info_regression (lines 97, 229) and critically SelectPercentile(mutual_info_regression).fit(X, rent.values) (line 301) are all computed on the FULL dataset before the first train_test_split (line 349) — the resulting X_selected (line 314) carries this feature-selection leakage into every downstream split in the notebook"
nb_387986,nb_387986.py,TRUE,preprocessing,580,589,"pd.get_dummies(grr, columns=grr.columns, ...) (line 581) is applied to the full X_selected_ dataset before the train_test_split at lines 588-589 — repeats the same pre-split full-data encoding pattern as lines 78-314"
nb_387986,nb_387986.py,TRUE,multi_test,349,748,"X_val/y_val reused across dozens of distinct models and feature/target engineering variants (RandomForest 357-358, LinearRegression 372-385, OHE pipelines 399-419, polynomial-interaction pipelines 503-558, box-cox/power-transformed targets 635-661, dummy-encoded subset 694-711, final ""asdf"" pipeline 729-748) for model selection — meanwhile X_test/y_test (created at lines 349, 490, 588, 687) are never evaluated against any model, so no independent final test score is ever reported"
shahules_tackling-class-imbalance,shahules_tackling-class-imbalance.py,TRUE,preprocessing,476,476,"RandomUnderSampler applied to full X before train_test_split inside logistic()"
shahules_tackling-class-imbalance,shahules_tackling-class-imbalance.py,TRUE,preprocessing,507,507,"RandomOverSampler applied to full X before train_test_split inside logistic()"
shahules_tackling-class-imbalance,shahules_tackling-class-imbalance.py,TRUE,preprocessing,542,542,"TomekLinks applied to full X before train_test_split inside logistic()"
shahules_tackling-class-imbalance,shahules_tackling-class-imbalance.py,TRUE,preprocessing,583,583,"SMOTE applied to full X before train_test_split inside logistic()"
nb_598984,nb_598984.py,TRUE,preprocessing,75,76,"Imputer fit_transform applied to full dataset before any split"
nb_598984,nb_598984.py,TRUE,preprocessing,80,85,"LabelEncoder and OneHotEncoder fit_transform applied to full dataset before any split"
nb_598984,nb_598984.py,TRUE,preprocessing,193,194,"Imputer re-fitted on test data — should reuse training imputer with transform() only"
nb_598984,nb_598984.py,TRUE,preprocessing,197,205,"LabelEncoder and OneHotEncoder re-fitted on test data — should reuse training encoders"
nb_598984,nb_598984.py,TRUE,preprocessing,216,216,"sc_X.fit_transform(X_test) re-fits StandardScaler on test — should be sc_X.transform(X_test)"
nb_481597,nb_481597.py,TRUE,preprocessing,139,150,"preproc() applies fillna (ffill and mean) to full dataset at line 154, before train_test_split at line 209"
nb_481597,nb_481597.py,TRUE,preprocessing,197,200,"Redundant feature removal based on correlation of full dataset before split"
nb_473437,nb_473437.py,FALSE,none,,,
nb_504,nb_504.py,TRUE,preprocessing,152,163,"One-hot encoding applied to full dataset before split"
nb_504,nb_504.py,TRUE,preprocessing,211,231,"fillna with mean computed on full dataset before split"
nb_504,nb_504.py,TRUE,preprocessing,259,261,"Normalization mean/std computed on full dataset before split; split happens at line 374"
nb_471253,nb_471253.py,TRUE,preprocessing,62,62,"df.dropna applied to full dataset before train_test_split at line 377"
nb_471253,nb_471253.py,TRUE,preprocessing,129,153,"Feature sorting by correlation with class label computed on full dataset before split — influences which variables are used in model"
nb_471253,nb_471253.py,TRUE,preprocessing,226,226,"PCA fit_transform on full dataset before split (used for cluster visualization but computed on all data)"
nb_424904,nb_424904.py,TRUE,preprocessing,35,36,"Imputer fitted on full toy dataset with no train_test_split — demo section has no split at all"
yogmoh_news-category,yogmoh_news-category-cb1c88ac.py,TRUE,overlap,84,143,"Train and competition test data concatenated before all text preprocessing"
yogmoh_news-category,yogmoh_news-category-cb1c88ac.py,TRUE,preprocessing,189,195,"SMOTE applied to full X before train_test_split — synthetic samples from future test data contaminate training"
titanic0,titanic0.py.ir.py,TRUE,overlap,28,28,"Train and test concatenated into combined data before all preprocessing"
titanic0,titanic0.py.ir.py,TRUE,preprocessing,41,74,"All preprocessing (Sex encoding, Embarked/Fare/Age fillna) applied to combined train+test; Fare mean and Age mean/std computed on combined data"
titanic0,titanic0.py,TRUE,overlap,11,11,"Train and test concatenated into combined data before all preprocessing"
titanic0,titanic0.py,TRUE,preprocessing,17,27,"Sex encoding, Embarked/Fare/Age fillna applied to combined train+test; Fare mean and Age mean/std computed on combined data"
testOversampler2,testOversampler2.py,FALSE,none,,,
testOversampler2,testOversampler2.py,FALSE,none,,,
testOversampler,testOversampler.py,TRUE,preprocessing,17,18,"RandomOverSampler applied to full X before train_test_split — synthetic samples from future test data contaminate training set"
test4,test4.py,FALSE,none,,,
test3,test3.py,TRUE,preprocessing,12,12,"preprocessing.scale applied to full df before train_test_split — test data statistics influence scaling"
test2,test2.py,TRUE,preprocessing,12,12,"Fare fillna uses np.mean(df['Fare']) where df contains full dataset including test rows — imputation value derived from test data"
test1,test1.py.ir.py,TRUE,preprocessing,47,53,"X_test Fare fillna uses mean of X_test itself (line 50) — imputation should use X_train mean, not test set statistics"
test1,test1.py,TRUE,preprocessing,13,13,"X_test Fare fillna uses np.mean(X_test['Fare']) — imputation should use X_train mean, not test set statistics"
test0,test0.py,TRUE,preprocessing,9,9,"Fare fillna applied to full df before train_test_split — mean computed on combined train+test data"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1159,1168,"RandomUnderSampler applied to full dataset X before train_test_split; resampled data contains test-influencing synthetic rows"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1244,1253,"RandomOverSampler applied to full dataset X before train_test_split"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1328,1337,"SMOTE applied to full dataset X before train_test_split; synthetic minority samples derived from test data"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1406,1415,"ADASYN applied to full dataset X before train_test_split"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1551,1556,"RandomUnderSampler applied to full X again before split (second block)"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1566,1571,"RandomOverSampler applied to full X again before split (second block)"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1581,1586,"SMOTE applied to full X again before split (second block)"
dktalaicha,dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,overlap,1596,1601,"ADASYN applied to full X again before split (second block)"
